STUDY_ID	SAMPLE_ID	EGFR	KRAS	ALK	ERBB2	CD274
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	2347.77	1962.13	6.6323	10643.5	261.105
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	1615.54	4618.15	7.083	8495.47	67.6109
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	792.154	4723.2	1.658	7639.89	404.211
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	626.496	1599.75	9.3329	9857.66	117.259
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	582.156	1329.26	5.4979	12105.7	32.3763
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	301.007	1361.07	7.3826	4722.48	103.691
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	1688.63	2207.89	17.2441	7344.72	54.9258
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	4113.78	3050.28	0.8053	7303.98	59.5936
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	1151.62	3103.11	0	5876.42	23.5027
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	297.277	950.414	150.193	1839.43	35.3396
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	3457.72	1223.58	13.0492	4845.59	651.588
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	3886.06	1464.74	2.4127	9209.48	45.8411
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	467.606	1346.4	15.0125	10556.3	47.2616
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	2750.55	1144.36	1.3253	7624.9	79.5157
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	5409.01	1186.54	5.3517	10733.2	107.034
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	7015.47	3100.44	4	3067.56	63.1111
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	1159.54	3154.02	2.5415	4584.26	79.4223
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	619.187	1347.07	2.3265	4014.96	129.622
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	569.014	1457.01	1.0518	6508.55	19.9842
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	487.309	1385.69	4.8706	4302.28	54.4901
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	673.97	2608.67	33.8418	14299.3	42.4214
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	1013.42	1855.62	6.7152	3688.86	137.661
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	1444.67	559.318	2.3712	6522.12	292.553
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	1566.58	2921.8	7.5681	9853.68	292.634
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	630.931	1844.02	1.5949	6111.64	70.8134
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	1306.88	1405.83	2.8843	12655	58.8405
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	820.587	3184.3	96.6942	7628.93	56.1983
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	1098.57	1373.28	4.974	3964.28	260.909
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	1367.75	1237.36	14.652	2953.85	49.0842
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	989.819	1044.12	7.9186	5614.82	107.466
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	381.949	1427.51	2.6161	2185.31	62.7861
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	446.172	1105.18	0	4525.91	6.9606
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	883.857	1683.39	35.9165	11615.9	21.0814
luad_tcga_pan_can_atlas_2018	TCGA-17-Z000-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z001-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z002-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z003-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z004-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z005-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z007-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z009-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z010-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z011-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z013-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z014-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z015-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z016-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z017-01	NA	NA	NA	NA	NA
